id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
82742,302.7,310.7,1346,61.4,211,1
82917,300.4,311.4,1372,54.9,177,1
82986,302.3,310.9,1347,49,100,1
83140,301,310.4,1324,47.8,173,1
83175,302,310.4,1357,39.2,108,1
83198,303.9,312.7,1370,61.3,126,1
83240,303.4,311.7,1353,44.1,192,1
83359,297,307.8,1400,57.1,200,1
83371,300.5,309.8,1324,72.8,153,1
83459,298,309.6,2540,12.8,62,1
83495,299.4,309.3,1597,31.6,66,1
83537,303.9,313.2,1260,60.5,213,1
83612,300.5,311.9,1511,35.9,203,1
83710,302.4,310.3,1374,54.8,160,1
83756,302.8,311.9,1509,36.5,52,1
83792,303.4,311.4,1312,59,122,1
83892,298.8,308.5,1348,52.8,91,1
83897,302.5,310.3,1362,55.2,163,1
83955,297.4,308.3,1475,40.5,94,1
84022,299.4,309.4,1390,46.8,94,1
84140,299.3,308.9,1379,69.6,171,1
84330,297.2,307.9,1326,75.4,172,1
84380,298,307.5,1379,65.3,31,1
84528,302.2,310,1373,55.3,20,1
84642,303,311,1441,38.7,148,1
84774,301,311.5,1399,58,190,1
84794,301.1,310.5,1372,55.8,53,1
84808,297.6,308.6,1472,49.7,218,1
84890,303,311.2,1363,56.8,17,1
84908,301.7,310.2,1336,58.8,207,1
84993,300.6,310.2,1387,52.1,228,1
85035,299,310.3,1368,45.9,153,1
85070,302.3,310.8,2709,9.9,85,1
85073,300.2,311.5,1639,31.1,2,1
85422,302.1,310.5,1351,55.8,173,1
85430,303.4,311.9,1320,62.9,42,1
85483,302.1,310.5,1346,48.9,107,1
85625,302.6,310.4,1362,46.6,100,1
85727,303.4,311.8,1355,52.8,35,1
85912,303.5,312.3,1326,57.4,112,1
85949,299.8,309.3,1372,41.9,221,1
85988,297.2,307.9,1521,75.4,172,1
86071,302.6,311,1249,60.4,94,1
86253,298.7,309.9,1505,45.7,144,1
86370,302,310.8,1421,46.4,44,1
86381,297.2,308.2,2372,14,18,1
86652,301.8,310.6,1268,58.2,50,1
86666,299.8,309.3,1379,57.1,194,1
86668,302.4,310.1,1351,45,10,1
86959,300.7,310.6,1336,66.1,101,1
87188,302.2,310.9,1359,55.8,205,1
87205,298.4,308.2,1468,58.7,2,1
87241,302.4,310.4,1351,45.1,168,1
87260,297.3,308.6,1364,50,199,1
87414,302.7,312.2,1350,52.1,213,1
87593,300.2,311.4,1378,54.2,228,1
87681,303,311.1,1577,54.3,203,1
87846,302.3,310.9,1361,57,112,1
87858,302.7,312.2,1288,68.5,214,1
87859,300,310,1309,55.2,44,1
87872,302.6,310.4,1329,51.7,148,1
87894,300.5,311.6,1365,56.9,212,1
88130,302.1,310.1,1379,47.9,176,1
88136,300.3,310.3,1362,60.3,173,1
88360,302.7,312.2,2563,13,246,1
88373,303.2,311.2,1363,45.6,25,1
88392,301.7,310.2,1362,62.8,192,1
88450,302.2,310.9,1336,58,49,1
88544,298.9,310.6,1258,57.8,12,1
88622,299,310.2,1258,69.6,75,1
88681,301.3,310,1506,40.8,11,1
88780,302.5,311.9,1332,54,165,1
88785,302.5,311.1,1334,49.8,205,1
88833,301.7,310.6,1429,56,3,1
88977,299.6,310.7,1922,23.3,205,1
88992,303.3,312.2,1443,48.2,195,1
89023,302.2,311,1522,35.9,61,1
89037,303.3,311.4,2663,11.4,12,1
89061,303.6,311.8,1340,59.1,24,1
89137,301.4,310.5,1365,55.3,98,1
89248,304,312.9,1363,62.5,200,1
89298,304,312.9,1412,48.4,200,1
89310,302.7,312.3,1363,53.6,232,1
89326,302.6,311,1369,60,93,1
89403,300.9,310.7,1318,57.5,16,1
89452,302.7,310.5,1642,30.8,197,1
89487,301,312.2,2710,9.7,143,1
89508,297.2,307.9,1326,75.4,204,1
89647,303.5,311.9,1344,47.3,93,1
89692,303.3,311.4,1497,46.5,234,1
89745,297.4,309.1,1359,60.7,119,1
89756,300.8,310.7,1339,59.1,192,1
89762,301.3,309.7,1314,49.5,27,1
89793,302.6,311.5,1442,59.8,169,1
89851,301.9,310.9,1359,49.5,191,1
89874,298.3,309.2,1597,37.2,134,1
89876,301.5,310.7,1402,63.7,77,1
89913,302.6,312.3,1368,53.8,164,1
89970,302.5,310.3,1446,44,146,1
89997,302.8,311.1,1371,58,86,1
90318,299.4,310.8,1434,60.4,92,1
90319,298.3,310.1,1362,65.7,81,1
90369,300.5,311.2,1270,67.5,15,1
90509,301.2,310.7,1329,59.1,42,1
90530,303,311.2,1335,52.7,143,1
90602,297.6,308.9,2564,12.8,101,1
90651,299.1,308.7,1377,48.5,181,1
90726,302.4,310.1,1353,53.8,159,1
90782,301.9,310.3,1233,66.8,208,1
91055,300.5,309.4,1362,27.2,228,1
91067,297.2,307.9,1331,75.4,85,1
91077,299.3,308.9,1434,46.9,119,1
91089,302.7,310.6,1362,51.2,82,1
91100,302.7,310.7,1355,55.5,11,1
91282,299.6,309.1,1294,69.3,215,1
91306,299,309.1,1346,67.3,168,1
91315,300.6,311.7,1336,50.9,0,1
91490,301.1,310.9,1268,67.2,20,1
91954,303,311.2,1361,48.5,172,1
91976,299.8,309.2,1411,56.8,216,1
91982,296.7,307.5,1549,35.8,85,1
92024,299.9,309.2,1365,63,169,1
92050,298.6,309.8,2271,16.2,96,1
92083,302.7,310.5,1350,61.5,16,1
92086,302.2,310.8,1339,50.8,61,1
92137,302.1,310.6,1340,44,7,1
92183,299.2,309,2678,10.7,100,1
92320,303.6,312.4,1280,57.3,124,1
92350,302.1,310.8,1202,68.2,139,1
92394,302.5,310.3,1376,45.4,98,1
92552,303.4,311.4,1340,56.9,141,1
92626,302.3,311.8,1452,56.2,208,1
92675,302.1,310.6,2659,13.4,213,1
92679,300.1,310,1390,61.4,186,1
92682,300.7,310.4,1416,61.8,85,1
92698,302.6,310.4,1374,54.8,191,1
92801,302.3,310.1,1479,52.7,134,1
92912,297.4,308.7,2874,31.4,118,1
93006,298.5,309.8,1398,55.4,217,1
93153,297.2,307.9,1326,75.4,150,1
93168,299.2,308.9,2710,9.8,36,1
93260,299.1,310.4,1366,50.1,208,1
93337,297.6,308.6,1475,44.7,222,1
93342,301.5,310.7,1359,47.1,115,1
93345,298.2,309,1410,47.6,76,1
93410,298.6,309.7,1362,52.1,7,1
93491,301.7,311,1368,62.4,57,1
93628,302.4,310.2,1365,47.1,134,1
93644,301.7,311,1441,44.3,208,1
93694,303.4,311.5,1361,40,15,1
93739,298,308.5,1376,60,212,1
93783,299.1,309.9,1398,55.4,217,1
93908,303,311.1,1347,58.3,9,1
94053,299.4,309.1,1316,51.3,215,1
94072,298.7,310.2,1459,56.8,203,1
94097,300.4,311.7,1330,59.3,187,1
94147,302.4,311,1369,51.4,203,1
94403,300.4,311.8,2370,13.4,207,1
94437,301,310.8,1527,45.3,8,1
94461,302.2,310.7,1326,54.4,129,1
94534,302.7,310.4,1454,51.2,211,1
94536,298,308.2,1365,52.9,218,1
94577,298.9,309.8,1570,42.1,200,1
94624,301.8,311.2,1400,56.2,202,1
94783,303.4,311.8,1305,55.8,213,1
94994,300.6,310.4,1416,49.4,209,1
95059,298.2,308.4,1310,61,189,1
95088,299.3,308.9,1261,44.3,119,1
95230,303.2,311.4,1238,54.6,226,1
95249,299.3,308.7,1372,55.6,185,1
95262,304,313.2,1365,52.9,127,1
95273,302.4,310.2,1324,52.2,166,1
95315,303.2,311.2,1363,46.7,219,1
95424,302.2,310.9,1202,68.5,7,1
95446,297,307.5,1331,69.4,20,1
95586,299.7,309.2,1564,35,179,1
95599,300.2,309.7,2563,12.4,92,1
95600,300.5,309.4,1349,51.5,231,1
95675,298.1,309,2437,13.9,44,1
95699,302.4,310.5,1577,45.7,144,1
95800,303,311,1341,46.3,188,1
95888,303.2,311.4,1351,52.9,101,1
95939,301.8,310.9,1359,54.6,182,1
96057,302.5,310.2,1351,47.5,0,1
96098,299.3,308.9,1258,69.4,119,1
96148,299.2,310.7,1737,27,146,1
96150,303.3,311.3,1301,54,219,1
96153,300.6,311.7,1469,56.6,134,1
96180,303,311.2,1295,62.4,65,1
96186,302.2,310.4,1333,62.4,132,1
96192,302.4,310.1,1358,54.6,210,1
96230,302.8,310.6,1380,50.1,199,1
96287,298.5,309.5,1379,60.5,126,1
96296,303.4,311.9,1316,50.9,59,1
96495,300.9,310.8,1708,29.1,14,1
96554,302.3,311.5,1338,67.6,194,1
96623,297.2,307.9,1326,41.6,172,1
96643,301.5,310.4,2639,12,21,1
96674,302.3,310.2,1853,22.5,119,1
96692,297.3,308.2,1396,52.7,2,1
96846,302.2,310.9,1346,50.7,96,1
96931,301.2,311.1,1461,62.5,111,1
96999,302.5,310.4,1305,59.7,45,1
97108,298.5,308.2,1436,48.7,42,1
97125,302.3,310.9,1353,61.3,158,1
97209,303.1,312.5,1372,55,161,1
97241,302.1,310.8,1370,58.7,27,1
97285,299.5,310.7,1386,53.5,5,1
97298,300.5,309.7,1373,52.3,185,1
97338,301.4,309.9,1375,47.2,22,1
97440,302.4,310.1,1329,45.3,20,1
97508,297.8,308.9,1871,25.6,200,1
97599,297.4,308.4,1677,30.8,220,1
97621,302.4,310.4,1336,61.4,166,1
97643,301.8,310.7,1369,51.8,5,1
97762,303.2,311.2,1336,52.3,12,1
97784,299,308.6,1267,68.2,76,1
97821,299,310.2,1377,41.9,92,1
97927,302.4,310.2,1345,33.8,43,1
97958,299,310.3,1303,44.2,111,1
97978,302.6,311,1367,52.1,139,1
97997,302.6,310.3,1347,59.5,13,1
98038,298.9,310.2,1282,65.3,176,1
98106,303.5,311.6,1371,44.7,134,1
98154,299.1,310.3,1619,31.1,148,1
98206,302.7,310.5,1317,51.2,12,1
98243,303,311.2,1368,58.2,67,1
98317,302.9,311.2,1334,36.9,166,1
98339,300.8,312.4,1465,55.3,91,1
98368,298,308.7,1288,60.5,0,1
98473,303,311.2,1329,45.7,184,1
98559,300.8,310.7,1527,59.1,45,1
98569,297.5,308.2,1399,60.7,216,1
98608,302,310.8,1379,51.2,86,1
98617,299.8,309.6,1376,48.4,201,1
98656,299.1,308.7,1320,67.5,20,1
98745,298.1,309.5,1467,48.2,48,1
98786,302.6,310.4,1359,57.2,69,1
98878,300.8,310.6,1577,37.9,227,1
98880,297.4,308.3,1733,28.3,207,1
99045,303.2,311.4,1325,54.2,228,1
99089,300.7,310.4,1416,49.7,209,1
99103,301.1,310.9,1282,45.4,10,1
99140,300.6,310.7,1438,37.4,78,1
99156,302,310.5,1357,53,5,1
99185,297.2,308.3,1350,48,22,1
99374,303.1,311.2,1337,56.1,23,1
99376,299.1,308.8,1329,53,202,1
99508,298.9,310.2,1362,53.5,212,1
99519,301.7,311,1715,24.8,17,1
99555,299.4,308.9,1519,37.5,187,1
99593,303.2,311.2,1359,54.2,19,1
99671,301.3,311.2,1341,53.5,208,1
99769,302.7,310.5,1329,52.9,197,1
99855,302.3,310.6,1334,53.2,206,1
99984,303.8,313.5,1365,59.9,205,1
100017,302.9,312.4,1336,60.1,115,1
100060,299.3,309.5,1322,49.8,0,1
100068,297.8,307.3,1327,61,139,1
100169,301,309.6,1222,68,122,1
100280,302.5,310.5,1507,46.5,201,1
100297,301,311,1535,40.7,190,1
100339,302.2,311,1334,48,207,1
100449,301.9,310.8,1336,61.2,196,1
100477,302.4,310.2,1375,48,188,1
100526,297.4,307.9,1358,65.1,174,1
100577,297.4,308.3,1472,46.4,207,1
100622,297.3,308.1,1370,58.8,199,1
100881,302.4,310.2,1339,37.7,29,1
100947,300.9,310.7,1378,57.5,16,1
100948,301.7,310.3,1376,42.6,22,1
100970,302.3,310.9,1349,43.2,33,1
100996,297.1,308,1347,61,49,1
101052,303.3,311.4,1369,51.6,29,1
101080,302.5,310.9,1373,50.6,60,1
101085,301.1,310,1470,40.1,200,1
101093,302.4,310.8,1249,68.2,86,1
101108,296.7,307.5,1356,54.2,153,1
101115,299.3,308.9,1258,69.4,119,1
101151,298.3,308,1326,50.3,65,1
101169,300.4,311.2,1270,59,208,1
101170,302.4,310.6,1276,68.6,163,1
101172,302.4,310.1,1358,46,110,1
101277,302,310.8,1615,29,24,1
101282,302.3,310.1,1472,47.7,64,1
101309,302.3,311,1265,59.7,16,1
101386,302.1,310.9,1351,47.1,161,1
101394,302.5,310.5,1408,58.2,62,1
101471,301.7,310.1,1373,46.5,203,1
101540,298.1,308.9,1357,45.2,176,1
101603,301.4,310.9,1377,47.9,193,1
101674,297.8,309,1403,36.9,0,1
101941,298.1,308.7,1192,68.9,0,1
101958,303.6,311.7,1266,52.6,126,1
101974,297.3,308.4,1290,60.5,213,1
102035,298.2,308.8,1379,53.6,33,1
102038,302.4,311,1376,49.9,89,1
102043,300.2,311.6,1367,54.3,165,1
102052,300.7,311.8,2437,13.4,202,1
102172,303.2,311.8,1351,52.9,2,1
102205,300.9,311.3,1390,57.5,183,1
102224,302.8,310.6,1310,51.9,124,1
102337,298.6,309.8,1505,45.7,144,1
102352,303.3,312.5,1359,50.8,0,1
102410,301.7,311,1608,33,208,1
102459,300.3,310.3,1538,37,206,1
102537,297.4,308.3,1445,38.9,213,1
102593,303.5,312.1,1365,44.7,166,1
102709,302.4,310.1,1336,44.4,142,1
102730,302,310.6,1361,60,201,1
102739,302,310.9,1415,53.1,212,1
102863,300.1,309.3,1371,56,120,1
102903,303.3,311.3,1351,44.2,32,1
102976,299.3,308.8,1258,69.4,119,1
103012,302.8,310.8,1332,52.8,15,1
103068,303.4,312.4,1401,50.7,115,1
103077,302.8,310.6,1411,48.9,199,1
103126,297.3,308.1,1615,35.4,217,1
103204,302.3,310.9,1268,49.3,34,1
103260,302.6,310.4,1638,36.2,84,1
103284,302,310,1348,57,179,1
103381,300.8,310.8,1577,37.9,13,1
103402,302,311,1555,37.7,200,1
103415,302.2,310.6,1445,48.4,161,1
103494,297.8,308.9,1871,25.6,201,1
103561,299,310.1,1368,57.2,12,1
103597,296.8,307.8,1408,46,140,1
103645,301.7,310.1,1286,61,104,1
103779,300.5,311.8,1429,38.9,214,1
103802,302.6,310.9,1331,52,154,1
103841,297.3,308.4,1710,27.9,17,1
103950,300.7,309.6,1395,19.8,203,1
103952,297.8,309,1403,64.2,0,1
104048,299.8,309.3,1493,65.1,212,1
104067,298.9,310.1,1299,69.4,172,1
104101,302.6,311,1392,52.1,114,1
104134,299,309.1,1455,50.8,113,1
104175,299.5,309.1,1416,23.4,225,1
104374,296.9,308.1,1359,58.7,197,1
104437,300.5,311.8,1428,54.4,110,1
104457,300.6,309.8,1359,60.1,121,1
104549,302.2,311.4,1333,66.7,100,1
104620,301.1,311.2,1435,45.3,217,1
104666,302.6,312.3,1454,38,253,1
104715,302.4,310.3,1376,45.8,123,1
104739,304,313,1362,56.7,200,1
104760,300.9,310.9,1400,61.4,109,1
104772,301.7,309.5,1298,65.5,229,1
105074,300.8,310.7,1339,59.1,199,1
105099,300,310.5,1412,65.2,121,1
105171,297.4,308.3,1472,45.5,2,1
105221,302.1,310.6,1385,46.4,208,1
105297,301.1,311,1316,67.9,174,1
105303,301.9,310.6,1844,68.6,26,1
105312,298.9,309.9,1501,37.1,70,1
105326,299.1,310.5,1389,61.4,64,1
105422,300.7,310.6,1369,54.2,187,1
105438,302.2,310.8,1359,66.4,213,1
105444,303.8,312.8,1336,62.4,145,1
105464,302.2,311.4,1338,59.5,39,1
105475,302.7,311.9,1370,52.6,2,1
105525,303,310.5,1359,46.3,197,1
105558,302.4,310.9,1353,53.6,128,1
105642,303.3,311.4,1721,46,234,1
105673,299.3,308.6,1399,46.6,2,1
105799,299.3,309,1511,47.8,148,1
105811,295.6,306.2,1426,69.2,110,1
106011,298.6,309.8,1275,71.6,218,1
106126,298.4,307.7,1544,40.6,146,1
106217,303.3,311.4,1497,46,234,1
106268,302.4,311.2,1366,47.9,152,1
106419,301.3,310.9,1470,54.3,86,1
106767,302.2,310,1350,58.2,22,1
106773,300.1,309.5,1340,57.4,52,1
106812,297.5,308.3,1529,38.4,222,1
106833,298.9,310.2,1533,35.2,228,1
106914,299.3,308.2,1359,56.8,235,1
106981,301.7,310.2,1331,61.2,47,1
107180,302.1,310.4,1470,45.9,203,1
107201,298.6,309.8,1368,55.6,213,1
107206,303.4,312.2,2174,16.2,30,1
107209,298.4,309.6,1379,55.3,163,1
107216,301,310.9,1339,58.5,197,1
107363,300.6,310.3,1648,30.5,217,1
107541,300.4,309.3,1525,38.1,222,1
107643,302.6,311,1330,60.9,99,1
107709,302.5,310.2,1415,55.8,117,1
107712,301.6,310.9,1385,50.7,195,1
107716,301.7,310.2,1331,46.4,47,1
107831,303.6,311.6,1334,53.1,20,1
107833,299.1,309,1325,53.7,18,1
107913,297.2,308.6,1433,49.1,127,1
108018,303.5,312,1320,67.9,212,1
108047,298.2,309,1336,69.4,119,1
108111,302.4,311.5,1361,71.6,126,1
108163,297.4,309.2,1312,52.1,124,1
108167,297.4,309,2567,12.8,161,1
108182,300.6,311.7,1320,62.9,212,1
108212,302.5,310.3,1370,61.2,172,1
108228,302.2,310.1,1368,45.1,14,1
108325,300.7,309.6,1271,56.4,246,1
108548,299.5,308.7,1601,13,107,1
108558,303.3,311.4,1341,44.7,9,1
108617,301.6,310.7,1352,56.6,197,1
108862,302.1,310.9,1345,44.2,213,1
108874,298.3,308.1,1412,52.3,192,1
108901,302.6,310.3,1647,34.2,14,1
108926,302.7,310.7,1397,47.6,11,1
109003,298.6,309.8,2271,16.2,218,1
109043,301,310.6,1615,29,204,1
109067,297.3,308.1,1255,59,199,1
109072,300.8,309.4,1342,62.4,113,1
109141,299.2,310.7,1327,60.9,225,1
109293,301.8,310.1,1369,48.3,180,1
109343,303.4,311.7,1367,47.9,161,1
109392,297.2,308.1,1531,40.8,207,1
109504,301.8,309.8,1442,45.2,66,1
109537,303,311,1335,56.4,115,1
109595,300.7,310.4,1416,61.8,74,1
109624,298.3,307.9,1526,36.8,209,1
109851,303,311,1392,42.4,109,1
109879,300.1,309.4,1362,61.8,42,1
109889,298.6,308.2,1361,68.2,47,1
109939,301.7,310.2,1331,61.2,47,1
110049,303,311.3,1365,56.2,146,1
110140,299.9,311.3,1331,61,5,1
110232,302.2,310.1,1324,61.4,15,1
110295,303,311,1360,47.6,163,1
110321,300.7,311.7,1336,58.4,189,1
110330,303,311.3,1375,56.2,146,1
110339,303.1,311.2,1379,52.1,215,1
110358,302.3,310.8,1369,45,142,1
110383,301.6,310.1,1326,48.3,39,1
110411,297.7,309.1,1365,45.8,12,1
110464,297.2,308.3,1379,54.8,21,1
110538,303.4,312,2268,15,215,1
110549,302,310.6,1376,55.8,10,1
110567,297.2,308.6,1411,61.5,170,1
110592,301.4,310.8,1413,62.6,183,1
110598,297.2,308.2,1431,49.7,210,1
110711,299.8,311.1,1379,54.9,174,1
110878,302.6,310.3,1365,49,59,1
110926,302.7,310.5,1329,52.7,195,1
110946,303.2,311.4,1363,54.6,226,1
110957,303,311.3,1347,54.7,192,1
110958,297.4,308.7,1362,56.4,119,1
110964,298.8,310,1326,61.9,104,1
110992,302,310.6,1418,46.5,207,1
111101,303.8,313,1480,41.4,210,1
111106,303.2,311.4,1332,51.2,31,1
111140,304,312.9,1363,62.5,200,1
111230,302.7,310.6,1385,47.7,199,1
111275,300.8,310.2,1364,65.3,208,1
111373,302.7,310.5,1351,41.8,135,1
111380,302.2,310.1,1458,45.1,92,1
111444,302.1,311.3,1336,62.4,135,1
111583,298.4,308.2,1336,56.2,196,1
111603,298,308.7,1477,38.8,181,1
111737,301.7,310.9,1459,37.6,207,1
111746,303.8,312.7,1337,57.8,159,1
111798,300.7,310.9,1356,65.3,66,1
111845,299.3,308.9,1639,69.4,119,1
111904,297.5,308.3,1367,54.3,207,1
111931,302.4,310.1,1378,54.5,106,1
111958,302.5,311.6,1369,54.1,41,1
111966,302.5,310.6,1379,48.4,144,1
112060,297.6,308.4,2833,5.8,71,1
112114,297.3,308.2,1396,48.7,212,1
112198,300.7,311.7,1323,61.4,3,1
112222,303.1,311.3,1341,42,172,1
112255,303.4,311.6,1341,52.4,68,1
112261,300.6,311.8,1372,60.1,212,1
112381,299.8,309.5,1685,28.4,225,1
112426,299.2,308.1,1242,67.6,117,1
112429,300.4,311,1433,46.1,199,1
112470,303.8,312.5,1377,46.6,198,1
112518,302.1,310.6,1348,48.4,161,1
112605,302.6,312.1,1288,39.4,0,1
112607,298.5,309.8,1404,41.7,209,1
112613,300.4,311.4,1326,56.2,125,1
112625,297.2,308.1,1407,63.6,172,1
112664,302.4,310.2,1379,53.4,94,1
112718,298.8,309.9,1530,38.6,40,1
112786,297.4,308.7,1544,4.2,118,1
113030,302.1,310.7,1373,55,8,1
113078,301.3,311.1,1373,53.4,197,1
113152,298,307.5,1524,36.3,98,1
113164,303.3,311.4,1497,46,234,1
113285,300.4,311.6,1549,76.6,3,1
113332,303.7,312.3,1375,55.9,98,1
113462,299.3,308.9,1258,69.4,119,1
113483,302,310,1270,65.9,179,1
113517,299.1,308.8,1320,54.7,20,1
113554,303.4,312.6,1390,9.8,65,1
113705,301.9,310.6,1378,68.6,85,1
113820,301.6,310.7,1380,44.4,216,1
113855,303.8,312.7,1369,50,137,1
114009,299.2,308.5,1295,62.3,101,1
114167,300.2,310.2,1378,61.9,191,1
114243,303.4,311.8,1341,47,204,1
114266,300.6,311.1,1371,54.4,24,1
114274,303.4,311.9,1377,52.3,34,1
114478,302.2,311,1309,60.2,191,1
114768,303.5,312,1372,42.9,85,1
114783,299.7,309.5,1352,49.7,184,1
114837,299.7,310.7,1362,50.6,192,1
114906,300.6,310.3,1183,68,92,1
115095,297.8,308.9,1871,25.6,200,1
115121,301.2,310.2,2886,4.8,119,1
115127,301.7,310.2,1309,55.7,8,1
115139,302.4,310.1,1227,68.2,114,1
115140,302.6,311,1563,60,93,1
115151,298.8,309.7,1294,61.3,216,1
115170,302,310.4,1306,48,82,1
115331,300.1,309,1435,47.7,149,1
115343,303.4,312.1,1435,45.9,87,1
115434,303.3,311.4,1307,54.6,232,1
115547,300.7,310.6,1724,25.8,0,1
115568,300.6,310.4,1416,61.8,209,1
115666,298.6,309.5,1305,61.7,189,1
115671,302.3,310.1,1379,48.9,98,1
115755,302.4,310.7,1442,48,157,1
115760,300.6,309.4,1559,47.6,92,1
115769,297.2,307.9,1326,75.4,5,1
115788,299.2,308.5,1378,50.4,5,1
115852,302.3,310.1,1333,52.1,44,1
115858,302.3,311.1,1369,48.7,0,1
115973,300.5,311.9,1429,45.8,212,1
116057,300.9,310.7,1362,53.1,187,1
116090,300.9,310.7,2706,54,73,1
116115,300.6,309.4,1380,47.6,246,1
116119,303.3,311.8,1363,45.9,18,1
116140,302.9,311.1,1361,45.3,135,1
116232,304,312.7,1349,56,110,1
116242,299.1,310.2,1435,48.8,229,1
116352,300.7,310.2,1642,33.2,208,1
116436,300.5,312,1366,61.3,106,1
116514,298.9,309.6,1422,49.9,202,1
116551,301.5,311.1,1349,61.6,174,1
116606,298.6,309.7,1521,48.2,206,1
116708,297,307.8,1400,56.1,200,1
116726,299.3,309.1,1471,47.8,187,1
116775,303.8,312.9,1378,45.6,184,1
116843,302,310.6,1375,48.9,156,1
116935,304.1,313.1,1372,57.3,62,1
116951,299.6,310.7,1523,41.7,205,1
116960,302.5,311,1365,51.1,149,1
116963,297.9,307.8,1352,47.9,203,1
117095,296.8,308.1,1289,62,199,1
117278,300.7,310.4,1710,27.8,209,1
117298,300.1,311.4,2579,12.5,64,1
117345,298.4,309.6,1524,46.4,163,1
117388,300.5,311.1,1296,61.3,202,1
117411,302.3,310.2,1329,50,154,1
117458,300.9,310.7,1412,57.5,16,1
117465,302.1,310.7,1342,49.2,2,1
117479,298.9,310.5,1450,48.7,207,1
117552,298.4,308,1316,58.2,198,1
117612,303.4,312.6,1452,41.5,65,1
117613,302.7,310.6,1626,35.2,205,1
117615,300.3,311.7,1474,43.8,222,1
117630,300.8,310.7,2495,13.8,203,1
117649,304,312.9,2344,62.9,202,1
117668,301.7,309.8,1284,68.2,207,1
117819,302.5,310.2,1307,54,44,1
117991,302.4,310.5,1345,46.4,127,1
118172,302.4,311.1,1329,48.6,111,1
118182,302.4,310.1,1359,55.8,29,1
118231,301.9,310.9,1376,55,197,1
118262,300.1,309.3,1559,33.3,193,1
118409,298.4,309.6,1710,34.6,163,1
118585,300.7,310.2,1498,49.3,208,1
118612,301.9,310.4,1357,47.3,195,1
118636,297.4,308.8,1538,36.9,204,1
118673,297.2,308.1,2861,3.8,225,1
118697,301.9,310.1,1331,45.9,180,1
118740,299.3,308.9,1450,69.4,119,1
118824,297.9,307.8,1258,69.8,89,1
118855,298.7,309.1,1367,55.5,200,1
118958,303.5,312,1353,51.7,86,1
118967,302.4,310.1,1378,46.6,187,1
119049,297.4,308.2,1297,60.5,192,1
119105,302.4,311,1373,48.2,186,1
119155,302.5,310.2,1307,54,86,1
119234,302.6,311,1412,68,114,1
119298,298.5,309.6,1502,39.4,84,1
119358,297.7,308.7,1249,60.4,208,1
119417,301.7,311,1343,67.9,21,1
119523,297.8,308.9,1871,38.1,200,1
119804,302.2,311,2659,11.4,23,1
119967,300.3,310.2,1362,41.5,9,1
119970,302.4,310.2,1398,52.7,194,1
120048,297.7,309,1403,45.3,0,1
120093,301.7,310.6,1426,49.5,216,1
120160,302.2,310.6,1346,63.9,109,1
120300,300.8,310.7,1339,59.2,203,1
120575,296.4,307.4,1515,5.6,213,1
120598,301.8,310.3,1376,55.1,162,1
120609,300.5,311.6,1372,68.2,67,1
120617,303.3,311.3,1397,69.4,215,1
120620,298,307.8,1331,68,153,1
120622,299.2,310.4,1298,69.4,37,1
120630,303,311.2,1385,50,101,1
120742,300.4,311.2,1326,61.9,203,1
120758,303.5,312.1,1363,52.5,139,1
120811,297.3,308.2,1521,52.7,212,1
120840,299.8,311.2,2721,40,172,1
120860,301.8,310,1293,63.9,187,1
120952,302.4,311,1338,67.6,9,1
121104,302.4,310.8,1361,52.3,155,1
121455,303.5,311.6,1334,53,92,1
121530,302.6,310.2,1337,56.8,119,1
121532,301.6,310.1,1362,46,70,1
121604,301.4,310.6,1368,63.7,92,1
121762,301.3,311.3,2377,15,171,1
121800,300.5,311.8,1550,57.9,176,1
121810,300.4,309.8,1329,55.2,0,1
121873,302.2,310.9,1349,51.5,148,1
121887,302.3,310.1,1383,52.7,134,1
121938,302.4,310.4,1355,45.6,164,1
121950,302.5,310.8,1374,44.3,142,1
122034,302.4,310.1,1379,52.7,136,1
122084,303.4,312.4,1449,66.8,104,1
122098,295.6,306.1,1256,71.4,119,1
122138,302.1,310,1355,45.1,23,1
122150,300.7,310.6,1701,26.1,0,1
122293,297.2,308.1,1431,49.7,171,1
122399,297.3,308,1327,65.1,165,1
122451,298.7,309.6,1282,62.7,196,1
122547,302.7,310.6,1344,43,203,1
122668,302.6,310.5,1379,54.3,172,1
122711,303.3,311.4,1497,43.8,234,1
122713,300.3,310.7,1366,53.3,125,1
122799,301.3,310.1,1355,56.8,195,1
122829,298.3,308.7,1445,60.7,119,1
122874,300.9,309.4,1342,62.4,113,1
122919,298,309.4,1280,64.1,50,1
123010,303.8,313.1,2497,13,137,1
123033,300.9,310.8,1708,29.1,14,1
123119,300.8,310.1,1405,61.2,155,1
123128,300.9,310.7,1368,62,12,1
123161,302.3,311.2,1373,62.5,203,1
123438,298,308.7,1268,53.8,91,1
123450,299.8,311.2,1377,53.6,143,1
123451,302,310.5,1365,61.5,86,1
123493,301.8,310.1,1446,62.8,22,1
123617,301.3,310.7,1372,51,86,1
123635,297.4,309.3,1312,63.7,111,1
123712,301,310.9,1379,54,199,1
123714,299,309.9,1373,55.7,171,1
123725,302.3,310.2,1339,46.8,22,1
123733,298.2,308.2,1491,39.5,218,1
123809,300.7,311.3,1270,61.8,100,1
